timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	response	error
2026-09-11T19:19:36.765387+00:00	localhost:8888	15	1506210423080000	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:37.030355+00:00	localhost:8888	15	1506210423080007	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:37.344591+00:00	localhost:8888	15	150621042308000e	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:37.608093+00:00	localhost:8888	15	1506210423080015	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:37.878906+00:00	localhost:8888	15	150621042308001c	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:38.188979+00:00	localhost:8888	15	1506210423080023	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:38.489702+00:00	localhost:8888	15	150621042308002a	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:38.797950+00:00	localhost:8888	15	1506210423080031	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:39.066250+00:00	localhost:8888	15	1506210423080038	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:39.608262+00:00	localhost:8888	15	150621042308003f	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:19:39.873025+00:00	localhost:8888	15	1506210423080046	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:40.139792+00:00	localhost:8888	15	150621042308004d	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:40.438969+00:00	localhost:8888	15	1506210423080054	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:40.701505+00:00	localhost:8888	15	150621042308005b	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:40.966672+00:00	localhost:8888	15	1506210423080062	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:41.275994+00:00	localhost:8888	15	1506210423080069	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:41.575979+00:00	localhost:8888	15	1506210423080070	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:41.841946+00:00	localhost:8888	15	1506210423080077	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:42.107058+00:00	localhost:8888	15	150621042308007e	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:42.372734+00:00	localhost:8888	15	1506210423080085	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:42.638409+00:00	localhost:8888	15	150621042308008c	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:19:42.904098+00:00	localhost:8888	15	1506210423080093	ff1f	ff1f						0aff1f0000000000000000	
