Checkliste Regler-Programmierung;;;;;;;;;;;;;;;;;;;;
Controller:;Controller:;;;;;;;;;;;;;;;;;;;
SC 6000 WPC;V6.2;;Standard-Werte;R407c;R134a;Scroll;Hub;Heizen;Heiz-Kühl;HWBW-K;Ladepumpe;HBJV;HCS/HWS;HCW/HWW;Mischer;Absorber -14Gr;Absorber -18Gr;Mono;Mono heiz-kühl;
07-06 Min. Fehlerdauer fuer Vorlauf-Störmeldung;7-7;;4;;;;;;;;;;;;;;;;;
07-14 Heizkreisfunktion im Kühlbetrieb;7-9;;0;;;;;0;3;;;;;;;;;;0 3**;
07-31 Heizkreisüberhöhung Niedertarif;7-8;;0;;;;;;;;;;;;;;;;;
Anmerkungen;;;;* in Verbindung mit einer HWBW-K;;;;;;;;;;;;;;;;
;;;;** bei Mono heizen-kühlen müssen der grüne und rote Kreis auf 3 stehen;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Controller:;Controller:;;;;;;;;;;;;;;;;;;;
SC 6000 WPC;V6.2;;Standard-Werte;R407c;R134a;Scroll;Hub;Heizen;Heiz-Kühl;HWBW-K;Ladepumpe;HBJV;HCS/HWS;HCW/HWW;Mischer;Absorber -14Gr;Absorber -18Gr;Mono;Mono heiz-kühl;
Einstellebene 9, WE Einstellungen Wärmepumpe;;;;;;;;;;;;;;;;;;;;
04-27 eBUS Adresse WEZ;9-1;P1;11;;;;;;;;;;;;;;;;;
09-00 Nachlaufzeit Schutzfunktion;9-4;P1;1;;;;;;;;;;;;;;;;;
09-04 Vorlaufzeit Quellenpumpe;9-2;P1;0,5;;;;;;;;;;;;;;;;;
09-07 WEZ Typ;9-0;P1;5;;;;;5;6;;;;;;;;;;;
09-11 Bedingte WEZ Freigabe;11-0;P1;0;;;;;;;;;;;;;;;5;6;
09-12 Aussentemperatursperre TAW;11-1;P1;-50;;;;;;;;;;;;;;;;;
09-13 Energiezweig Funktion;11-2;P1;2;;;;;;;;;;;;;;;;;
09-14 Diff. Leistungszwang Tkmax;11-3;P1;0;;;;;;;;;;;;;;;;;
09-21 WE Abschaltdifferenz;10-1;P1;5;;;;;;;;;;;;;;;;;
