timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	value_bytes	value_unsigned	value_signed	value	value_encoding	response	error
2026-09-11T22:47:29.158816+00:00	localhost:8888	15	1506210401000000	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:47:29.427965+00:00	localhost:8888	15	1506210401010000	hit	0000	00-000	Temperatur	_C	500	-500	a800	168	168	16.8 °C	Annahme: SIN / 10	0a00000d02f4010cfea800	
2026-09-11T22:47:29.745686+00:00	localhost:8888	15	1506210401020000	hit	ba41	03-058	TemperaturSchwelle	K	30	-30	0000	0	0	0 K	Annahme: SIN / 10	0aba414d041e00e2ff0000	
2026-09-11T22:47:30.056478+00:00	localhost:8888	15	1506210401030000	hit	0381	02-003	unknown(0x1d)	none	5	16386	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a03811d00050002400000	
2026-09-11T22:47:30.543567+00:00	localhost:8888	15	1506210401040000	hit	0281	02-002	unknown(0x1d)	none	0	-32766	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a02811d00000002800000	
2026-09-11T22:47:30.815027+00:00	localhost:8888	15	1506210401050000	hit	0081	02-000	unknown(0x1d)	none	11	-1	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a00811d000b00ffff0000	
2026-09-11T22:47:31.130514+00:00	localhost:8888	15	1506210401060000	hit	0a01	02-010	unknown(0x80)	min	180	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a0a01800cb40000000000	
2026-09-11T22:47:31.829756+00:00	localhost:8888	15	1506210401080000	hit	4741	02-071	Zeit	hh_mm	10080	0	520b	2898	2898		unbekannt; Rohwerte ohne Skalierung	0a4741042a60270000520b	
2026-09-11T22:48:05.325049+00:00	localhost:8888	15	1506210401800000	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:48:05.590637+00:00	localhost:8888	15	1506210401810000	hit	0000	00-000	Temperatur	_C	500	-500	a800	168	168	16.8 °C	Annahme: SIN / 10	0a00000d02f4010cfea800	
2026-09-11T22:48:05.924466+00:00	localhost:8888	15	1506210401820000	hit	ba41	03-058	TemperaturSchwelle	K	30	-30	0000	0	0	0 K	Annahme: SIN / 10	0aba414d041e00e2ff0000	
2026-09-11T22:48:06.184358+00:00	localhost:8888	15	1506210401830000	hit	0381	02-003	unknown(0x1d)	none	5	16386	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a03811d00050002400000	
2026-09-11T22:48:06.453814+00:00	localhost:8888	15	1506210401840000	hit	0281	02-002	unknown(0x1d)	none	0	-32766	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a02811d00000002800000	
2026-09-11T22:48:06.783753+00:00	localhost:8888	15	1506210401850000	hit	0081	02-000	unknown(0x1d)	none	11	-1	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a00811d000b00ffff0000	
2026-09-11T22:48:07.044202+00:00	localhost:8888	15	1506210401860000	hit	0a01	02-010	unknown(0x80)	min	180	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a0a01800cb40000000000	
2026-09-11T22:48:07.642924+00:00	localhost:8888	15	1506210401880000	hit	4741	02-071	Zeit	hh_mm	10080	0	530b	2899	2899		unbekannt; Rohwerte ohne Skalierung	0a4741042a60270000530b	
2026-09-11T22:48:40.919196+00:00	localhost:8888	15	1506210402000000	hit	8943	07-009	TemperaturSoll	_C	900	0	e001	480	480	48 °C	Annahme: SIN / 10	0a89438d0284030000e001	
2026-09-11T22:49:16.778680+00:00	localhost:8888	15	1506210402800000	hit	8943	07-009	TemperaturSoll	_C	900	0	e001	480	480	48 °C	Annahme: SIN / 10	0a89438d0284030000e001	
2026-09-11T22:49:52.232203+00:00	localhost:8888	15	1506210403000000	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:49:52.536901+00:00	localhost:8888	15	1506210403010000	hit	0200	00-002	Temperatur	_C	1000	0	ec00	236	236	23.6 °C	Annahme: SIN / 10	0a02000d02e8030000ec00	
2026-09-11T22:49:52.794827+00:00	localhost:8888	15	1506210403020000	hit	ba41	03-058	TemperaturSchwelle	K	30	-30	0000	0	0	0 K	Annahme: SIN / 10	0aba414d041e00e2ff0000	
2026-09-11T22:49:53.061589+00:00	localhost:8888	15	1506210403030000	hit	0381	02-003	unknown(0x1d)	none	5	16386	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a03811d00050002400000	
2026-09-11T22:49:53.369592+00:00	localhost:8888	15	1506210403040000	hit	0281	02-002	unknown(0x1d)	none	0	-32766	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a02811d00000002800000	
2026-09-11T22:49:53.669618+00:00	localhost:8888	15	1506210403050000	hit	0081	02-000	unknown(0x1d)	none	11	-1	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a00811d000b00ffff0000	
2026-09-11T22:49:53.935382+00:00	localhost:8888	15	1506210403060000	hit	0a01	02-010	unknown(0x80)	min	180	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a0a01800cb40000000000	
2026-09-11T22:49:54.497114+00:00	localhost:8888	15	1506210403080000	hit	32c1	02-050	unknown(0x1d)	none	12	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a32c11d000c0000000000	
2026-09-11T22:50:27.326343+00:00	localhost:8888	15	1506210403800000	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:50:27.596345+00:00	localhost:8888	15	1506210403810000	hit	0200	00-002	Temperatur	_C	1000	0	ec00	236	236	23.6 °C	Annahme: SIN / 10	0a02000d02e8030000ec00	
2026-09-11T22:50:27.888281+00:00	localhost:8888	15	1506210403820000	hit	ba41	03-058	TemperaturSchwelle	K	30	-30	0000	0	0	0 K	Annahme: SIN / 10	0aba414d041e00e2ff0000	
2026-09-11T22:50:28.154650+00:00	localhost:8888	15	1506210403830000	hit	0381	02-003	unknown(0x1d)	none	5	16386	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a03811d00050002400000	
2026-09-11T22:50:28.423140+00:00	localhost:8888	15	1506210403840000	hit	0281	02-002	unknown(0x1d)	none	0	-32766	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a02811d00000002800000	
2026-09-11T22:50:28.704667+00:00	localhost:8888	15	1506210403850000	hit	0081	02-000	unknown(0x1d)	none	11	-1	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a00811d000b00ffff0000	
2026-09-11T22:50:28.966984+00:00	localhost:8888	15	1506210403860000	hit	0a01	02-010	unknown(0x80)	min	180	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a0a01800cb40000000000	
