timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	response	error
2026-09-11T19:27:32.914201+00:00	localhost:8888	15	15062104230b0000	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:33.974340+00:00	localhost:8888	15	15062104230b0100	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:35.098194+00:00	localhost:8888	15	15062104230b0200	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:36.176218+00:00	localhost:8888	15	15062104230b0300	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:37.238990+00:00	localhost:8888	15	15062104230b0400	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:38.301540+00:00	localhost:8888	15	15062104230b0500	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:39.613321+00:00	localhost:8888	15	15062104230b0600	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:40.709460+00:00	localhost:8888	15	15062104230b0700	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:41.848487+00:00	localhost:8888	15	15062104230b0800	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:42.910953+00:00	localhost:8888	15	15062104230b0900	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:43.979899+00:00	localhost:8888	15	15062104230b0a00	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:45.223113+00:00	localhost:8888	15	15062104230b0b00	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:46.301668+00:00	localhost:8888	15	15062104230b0c00	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:47.634534+00:00	localhost:8888	15	15062104230b0d00	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:48.692055+00:00	localhost:8888	15	15062104230b0e00	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:49.754536+00:00	localhost:8888	15	15062104230b0f00	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
2026-09-11T19:27:51.051830+00:00	localhost:8888	15	15062104230b1000	hit	8844	09-008	Zeit	none	3	0	0a88440400030000000000	
