timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	value_bytes	value_unsigned	value_signed	value	value_encoding	response	error
2026-09-11T22:58:39.036425+00:00	localhost:8888	15	1506210401000000	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:39.302711+00:00	localhost:8888	15	1506210401000001	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:39.566044+00:00	localhost:8888	15	1506210401000002	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:39.841872+00:00	localhost:8888	15	1506210401000003	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:40.159972+00:00	localhost:8888	15	1506210401000004	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:40.458482+00:00	localhost:8888	15	1506210401000005	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:40.746270+00:00	localhost:8888	15	1506210401000006	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:41.058512+00:00	localhost:8888	15	1506210401000007	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:41.367211+00:00	localhost:8888	15	1506210401000008	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:41.628828+00:00	localhost:8888	15	1506210401000009	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:41.894870+00:00	localhost:8888	15	150621040100000a	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:42.159836+00:00	localhost:8888	15	150621040100000b	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:42.493275+00:00	localhost:8888	15	150621040100000c	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:42.753348+00:00	localhost:8888	15	150621040100000d	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:43.019163+00:00	localhost:8888	15	150621040100000e	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:43.368061+00:00	localhost:8888	15	150621040100000f	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:43.628481+00:00	localhost:8888	15	1506210401000010	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:43.894093+00:00	localhost:8888	15	1506210401000011	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:44.190251+00:00	localhost:8888	15	1506210401000012	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:44.456379+00:00	localhost:8888	15	1506210401000013	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:44.722522+00:00	localhost:8888	15	1506210401000014	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:45.018023+00:00	localhost:8888	15	1506210401000015	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:45.284835+00:00	localhost:8888	15	1506210401000016	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:45.550220+00:00	localhost:8888	15	1506210401000017	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:45.816083+00:00	localhost:8888	15	1506210401000018	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:46.081548+00:00	localhost:8888	15	1506210401000019	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:46.377572+00:00	localhost:8888	15	150621040100001a	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:46.643884+00:00	localhost:8888	15	150621040100001b	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:46.910019+00:00	localhost:8888	15	150621040100001c	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:47.205581+00:00	localhost:8888	15	150621040100001d	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:47.472283+00:00	localhost:8888	15	150621040100001e	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:47.737914+00:00	localhost:8888	15	150621040100001f	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:48.020787+00:00	localhost:8888	15	1506210401000020	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:48.284716+00:00	localhost:8888	15	1506210401000021	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:48.550230+00:00	localhost:8888	15	1506210401000022	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:48.816768+00:00	localhost:8888	15	1506210401000023	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:49.081734+00:00	localhost:8888	15	1506210401000024	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:49.347113+00:00	localhost:8888	15	1506210401000025	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:49.613495+00:00	localhost:8888	15	1506210401000026	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:49.878204+00:00	localhost:8888	15	1506210401000027	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:50.144622+00:00	localhost:8888	15	1506210401000028	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:50.628409+00:00	localhost:8888	15	1506210401000029	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:50.894085+00:00	localhost:8888	15	150621040100002a	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:51.159921+00:00	localhost:8888	15	150621040100002b	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:51.643081+00:00	localhost:8888	15	150621040100002c	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:51.909710+00:00	localhost:8888	15	150621040100002d	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:52.175910+00:00	localhost:8888	15	150621040100002e	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:52.508517+00:00	localhost:8888	15	150621040100002f	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:52.769119+00:00	localhost:8888	15	1506210401000030	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:53.034513+00:00	localhost:8888	15	1506210401000031	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:53.382166+00:00	localhost:8888	15	1506210401000032	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:53.643858+00:00	localhost:8888	15	1506210401000033	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T22:58:53.909802+00:00	localhost:8888	15	1506210401000034	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T22:58:54.176576+00:00	localhost:8888	15	1506210401000035	ff1f	ff1f											0aff1f0000000000000000	
