timestamp	server	destination	request	status	parameter_bytes	tem_code	response	error
2026-09-11T16:34:57.488870+00:00	127.0.0.1:8888	15	1506210409970000	hit	2941	02-041	0a29410d10e70319fc18fc	
2026-09-11T16:34:57.755044+00:00	127.0.0.1:8888	15	1506210409980000	hit	4741	02-071	0a4741042a60270000cc1a	
2026-09-11T16:34:58.191244+00:00	127.0.0.1:8888	15	1506210409990000	hit	4641	02-070	0a46410428ffff0000c3b4	
2026-09-11T16:35:27.641990+00:00	127.0.0.1:8888	15	150621040a000000	hit	4741	02-071	0a4741042a60270000cd1a	
2026-09-11T16:35:27.907537+00:00	127.0.0.1:8888	15	150621040a010000	hit	4641	02-070	0a46410428ffff0000c3b4	
2026-09-11T16:36:03.391435+00:00	127.0.0.1:8888	15	150621040a800000	hit	4741	02-071	0a4741042a60270000cd1a	
2026-09-11T16:36:03.657778+00:00	127.0.0.1:8888	15	150621040a810000	hit	4641	02-070	0a46410428ffff0000c3b4	
2026-09-11T16:36:38.517573+00:00	127.0.0.1:8888	15	150621040b000000	hit	b341	03-051	0ab3414d022c016400cd00	
2026-09-11T16:36:39.050656+00:00	127.0.0.1:8888	15	150621040b020000	hit	b541	03-053	0ab5414d02c8003200b400	
2026-09-11T16:36:39.315129+00:00	127.0.0.1:8888	15	150621040b030000	hit	b342	05-051	0ab3428d02bc026400f401	
2026-09-11T16:36:39.580044+00:00	127.0.0.1:8888	15	150621040b040000	hit	8a41	03-010	0a8a410408f40100001e00	
2026-09-11T16:36:39.847032+00:00	127.0.0.1:8888	15	150621040b050000	hit	8843	07-008	0a88438d0284032c012602	
2026-09-11T16:36:40.367123+00:00	127.0.0.1:8888	15	150621040b060000	hit	9541	03-021	0a95414d022c010000a500	
2026-09-11T16:37:14.424081+00:00	127.0.0.1:8888	15	150621040b800000	hit	b341	03-051	0ab3414d022c016400cd00	
2026-09-11T16:37:14.986113+00:00	127.0.0.1:8888	15	150621040b820000	hit	b541	03-053	0ab5414d02c8003200b400	
2026-09-11T16:37:15.252226+00:00	127.0.0.1:8888	15	150621040b830000	hit	b342	05-051	0ab3428d02bc026400f401	
2026-09-11T16:37:15.520376+00:00	127.0.0.1:8888	15	150621040b840000	hit	8a41	03-010	0a8a410408f40100001e00	
2026-09-11T16:37:15.814310+00:00	127.0.0.1:8888	15	150621040b850000	hit	8843	07-008	0a88438d0284032c012602	
2026-09-11T16:37:16.080531+00:00	127.0.0.1:8888	15	150621040b860000	hit	9541	03-021	0a95414d022c010000a500	
2026-09-11T16:41:25.023359+00:00	127.0.0.1:8888	15	150621040f000000	hit	ce01	03-078	0ace01042863ffc2b4c2b4	
2026-09-11T16:42:00.927936+00:00	127.0.0.1:8888	15	150621040f800000	hit	ce01	03-078	0ace01042863ffc2b4c2b4	
2026-09-11T16:42:36.622261+00:00	127.0.0.1:8888	15	1506210410000000	hit	2d02	04-045	0a2d020900010220000000	
2026-09-11T16:43:12.239838+00:00	127.0.0.1:8888	15	1506210410800000	hit	2d02	04-045	0a2d020900010220000000	
2026-09-11T17:02:53.001781+00:00	127.0.0.1:8888	15	1506210421000000	hit	9400	01-020	0a94000200010000000100	
2026-09-11T17:02:53.267253+00:00	127.0.0.1:8888	15	1506210421010000	hit	9500	01-021	0a9500c10864009c000000	
2026-09-11T17:02:53.533266+00:00	127.0.0.1:8888	15	1506210421020000	hit	9600	01-022	0a96000200010000000100	
2026-09-11T17:02:53.799716+00:00	127.0.0.1:8888	15	1506210421030000	hit	a800	01-040	0aa8000200010000000000	
2026-09-11T17:02:54.094967+00:00	127.0.0.1:8888	15	1506210421040000	hit	b500	01-053	0ab5000200010000000000	
2026-09-11T17:02:54.361368+00:00	127.0.0.1:8888	15	1506210421050000	hit	b600	01-054	0ab6000200010000000100	
2026-09-11T17:02:54.627007+00:00	127.0.0.1:8888	15	1506210421060000	hit	bf00	01-063	0abf000200010000000000	
2026-09-11T17:02:54.923355+00:00	127.0.0.1:8888	15	1506210421070000	hit	c000	01-064	0ac0000200010000000100	
2026-09-11T17:02:55.190290+00:00	127.0.0.1:8888	15	1506210421080000	hit	c100	01-065	0ac1000200010000000100	
2026-09-11T17:02:55.454770+00:00	127.0.0.1:8888	15	1506210421090000	hit	c200	01-066	0ac2000200010000000100	
2026-09-11T17:02:55.738237+00:00	127.0.0.1:8888	15	15062104210a0000	hit	cc00	01-076	0acc000000020000000200	
2026-09-11T17:02:56.001756+00:00	127.0.0.1:8888	15	15062104210b0000	hit	cd00	01-077	0acd000200010000000100	
2026-09-11T17:02:56.267437+00:00	127.0.0.1:8888	15	15062104210c0000	hit	ce00	01-078	0ace000200010000000000	
2026-09-11T17:02:56.533306+00:00	127.0.0.1:8888	15	15062104210d0000	hit	d200	01-082	0ad2000200010000000000	
2026-09-11T17:02:56.803051+00:00	127.0.0.1:8888	15	15062104210e0000	hit	de00	01-094	0ade000200010000000000	
2026-09-11T17:02:57.064451+00:00	127.0.0.1:8888	15	15062104210f0000	hit	e300	01-099	0ae3000200010000000000	
2026-09-11T17:03:28.955154+00:00	127.0.0.1:8888	15	1506210421800000	hit	9400	01-020	0a94000200010000000100	
2026-09-11T17:03:29.220952+00:00	127.0.0.1:8888	15	1506210421810000	hit	9500	01-021	0a9500c10864009c000000	
2026-09-11T17:03:29.486439+00:00	127.0.0.1:8888	15	1506210421820000	hit	9600	01-022	0a96000200010000000100	
2026-09-11T17:03:29.752116+00:00	127.0.0.1:8888	15	1506210421830000	hit	a800	01-040	0aa8000200010000000000	
2026-09-11T17:03:30.024412+00:00	127.0.0.1:8888	15	1506210421840000	hit	b500	01-053	0ab5000200010000000000	
2026-09-11T17:03:30.318733+00:00	127.0.0.1:8888	15	1506210421850000	hit	b600	01-054	0ab6000200010000000100	
2026-09-11T17:03:30.580189+00:00	127.0.0.1:8888	15	1506210421860000	hit	bf00	01-063	0abf000200010000000000	
2026-09-11T17:03:30.846650+00:00	127.0.0.1:8888	15	1506210421870000	hit	c000	01-064	0ac0000200010000000100	
2026-09-11T17:03:31.155898+00:00	127.0.0.1:8888	15	1506210421880000	hit	c100	01-065	0ac1000200010000000100	
2026-09-11T17:03:31.456314+00:00	127.0.0.1:8888	15	1506210421890000	hit	c200	01-066	0ac2000200010000000100	
2026-09-11T17:03:31.722403+00:00	127.0.0.1:8888	15	15062104218a0000	hit	cc00	01-076	0acc000000020000000200	
2026-09-11T17:03:32.018645+00:00	127.0.0.1:8888	15	15062104218b0000	hit	cd00	01-077	0acd000200010000000100	
2026-09-11T17:03:32.284570+00:00	127.0.0.1:8888	15	15062104218c0000	hit	ce00	01-078	0ace000200010000000000	
2026-09-11T17:03:32.550053+00:00	127.0.0.1:8888	15	15062104218d0000	hit	d200	01-082	0ad2000200010000000000	
2026-09-11T17:03:32.851189+00:00	127.0.0.1:8888	15	15062104218e0000	hit	de00	01-094	0ade000200010000000000	
2026-09-11T17:03:33.111950+00:00	127.0.0.1:8888	15	15062104218f0000	hit	e300	01-099	0ae3000200010000000000	
2026-09-11T17:05:17.663009+00:00	127.0.0.1:8888	15	1506210423000000	hit	8041	03-000	0a80418d0296001e006400	
2026-09-11T17:05:17.925719+00:00	127.0.0.1:8888	15	1506210423010000	hit	8141	03-001	0a81418d0290016400dc00	
2026-09-11T17:05:18.192058+00:00	127.0.0.1:8888	15	1506210423020000	hit	8241	03-002	0a82414d02c8009cffa300	
2026-09-11T17:05:18.461323+00:00	127.0.0.1:8888	15	1506210423030000	hit	8641	03-006	0a86418d0c282300000000	
2026-09-11T17:05:18.722830+00:00	127.0.0.1:8888	15	1506210423040000	hit	8741	03-007	0a87410d06640000000000	
2026-09-11T17:05:18.988558+00:00	127.0.0.1:8888	15	1506210423050000	hit	8841	03-008	0a88418d0464009cff9cff	
2026-09-11T17:05:19.254261+00:00	127.0.0.1:8888	15	1506210423060000	hit	a341	03-035	0aa3414d04640014003c00	
2026-09-11T17:05:19.523553+00:00	127.0.0.1:8888	15	1506210423070000	hit	ab41	03-043	0aab414d022c016400dc00	
2026-09-11T17:05:19.784994+00:00	127.0.0.1:8888	15	1506210423080000	hit	2d02	04-045	0a2d020900010220000000	
2026-09-11T17:05:20.050965+00:00	127.0.0.1:8888	15	1506210423090000	hit	3c42	04-060	0a3c420000020000000000	
2026-09-11T17:05:20.363265+00:00	127.0.0.1:8888	15	15062104230a0000	hit	8e42	05-014	0a8e420400080000000000	
2026-09-11T17:05:20.659590+00:00	127.0.0.1:8888	15	15062104230b0000	hit	8844	09-008	0a88440400030000000000	
2026-09-11T17:05:53.331815+00:00	127.0.0.1:8888	15	1506210423800000	hit	8041	03-000	0a80418d0296001e006400	
2026-09-11T17:05:53.597432+00:00	127.0.0.1:8888	15	1506210423810000	hit	8141	03-001	0a81418d0290016400dc00	
2026-09-11T17:05:53.863297+00:00	127.0.0.1:8888	15	1506210423820000	hit	8241	03-002	0a82414d02c8009cffa300	
2026-09-11T17:05:54.159304+00:00	127.0.0.1:8888	15	1506210423830000	hit	8641	03-006	0a86418d0c282300000000	
2026-09-11T17:05:54.427736+00:00	127.0.0.1:8888	15	1506210423840000	hit	8741	03-007	0a87410d06640000000000	
