timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	value_bytes	value_unsigned	value_signed	value	value_encoding	response	error
2026-09-11T23:01:05.538234+00:00	localhost:8888	15	1506210403000000	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T23:01:05.802019+00:00	localhost:8888	15	1506210403000040	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:06.067483+00:00	localhost:8888	15	1506210403000080	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:06.363681+00:00	localhost:8888	15	15062104030000c0	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:06.630978+00:00	localhost:8888	15	1506210403000100	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T23:01:06.895748+00:00	localhost:8888	15	1506210403000140	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:07.192016+00:00	localhost:8888	15	1506210403000180	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:07.458453+00:00	localhost:8888	15	15062104030001c0	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:07.723847+00:00	localhost:8888	15	1506210403000200	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T23:01:08.020561+00:00	localhost:8888	15	1506210403000240	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:08.288445+00:00	localhost:8888	15	1506210403000280	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:08.553347+00:00	localhost:8888	15	15062104030002c0	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:08.839151+00:00	localhost:8888	15	1506210403000300	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T23:01:09.098687+00:00	localhost:8888	15	1506210403000340	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:09.364331+00:00	localhost:8888	15	1506210403000380	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:09.663933+00:00	localhost:8888	15	15062104030003c0	hit	8041	03-000	TemperaturSoll	_C	150	30	6400	100	100	10 °C	Annahme: SIN / 10	0a80418d0296001e006400	
2026-09-11T23:01:09.926908+00:00	localhost:8888	15	1506210403000400	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
