timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	value_bytes	value_unsigned	value_signed	value	value_encoding	response	error
2026-09-11T21:54:13.867550+00:00	localhost:8888	15	150621040b030000	hit	b342	05-051	TemperaturSoll	_C	700	100	f401	500	500	50 °C	Annahme: SIN / 10	0ab3428d02bc026400f401	
2026-09-11T21:54:14.135733+00:00	localhost:8888	15	150621040b030040	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:14.439641+00:00	localhost:8888	15	150621040b030080	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:14.749728+00:00	localhost:8888	15	150621040b0300c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:15.274491+00:00	localhost:8888	15	150621040b030100	hit	b342	05-051	TemperaturSoll	_C	700	100	f401	500	500	50 °C	Annahme: SIN / 10	0ab3428d02bc026400f401	
2026-09-11T21:54:15.577726+00:00	localhost:8888	15	150621040b030140	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:16.058458+00:00	localhost:8888	15	150621040b030180	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:16.366135+00:00	localhost:8888	15	150621040b0301c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:16.630175+00:00	localhost:8888	15	150621040b030200	hit	b342	05-051	TemperaturSoll	_C	700	100	f401	500	500	50 °C	Annahme: SIN / 10	0ab3428d02bc026400f401	
2026-09-11T21:54:16.896571+00:00	localhost:8888	15	150621040b030240	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:17.162755+00:00	localhost:8888	15	150621040b030280	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:17.426742+00:00	localhost:8888	15	150621040b0302c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:17.692230+00:00	localhost:8888	15	150621040b030300	hit	b342	05-051	TemperaturSoll	_C	700	100	f401	500	500	50 °C	Annahme: SIN / 10	0ab3428d02bc026400f401	
2026-09-11T21:54:17.957742+00:00	localhost:8888	15	150621040b030340	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:18.224095+00:00	localhost:8888	15	150621040b030380	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:18.706867+00:00	localhost:8888	15	150621040b0303c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:18.973596+00:00	localhost:8888	15	150621040b030400	hit	b342	05-051	TemperaturSoll	_C	700	100	f401	500	500	50 °C	Annahme: SIN / 10	0ab3428d02bc026400f401	
2026-09-11T21:54:19.239544+00:00	localhost:8888	15	150621040b030440	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:19.742435+00:00	localhost:8888	15	150621040b030480	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:20.006066+00:00	localhost:8888	15	150621040b0304c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:20.271775+00:00	localhost:8888	15	150621040b030500	hit	b342	05-051	TemperaturSoll	_C	700	100	f401	500	500	50 °C	Annahme: SIN / 10	0ab3428d02bc026400f401	
2026-09-11T21:54:20.571761+00:00	localhost:8888	15	150621040b030540	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:20.833963+00:00	localhost:8888	15	150621040b030580	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:21.099027+00:00	localhost:8888	15	150621040b0305c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:21.408439+00:00	localhost:8888	15	150621040b030600	hit	b342	05-051	TemperaturSoll	_C	700	100	f401	500	500	50 °C	Annahme: SIN / 10	0ab3428d02bc026400f401	
2026-09-11T21:54:21.710710+00:00	localhost:8888	15	150621040b030640	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:21.974855+00:00	localhost:8888	15	150621040b030680	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:22.240598+00:00	localhost:8888	15	150621040b0306c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:22.505955+00:00	localhost:8888	15	150621040b030700	hit	b342	05-051	TemperaturSoll	_C	700	100	f401	500	500	50 °C	Annahme: SIN / 10	0ab3428d02bc026400f401	
2026-09-11T21:54:22.771395+00:00	localhost:8888	15	150621040b030740	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T21:54:23.037966+00:00	localhost:8888	15	150621040b030780	ff1f	ff1f											0aff1f0000000000000000	
