timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	value_bytes	value_unsigned	value_signed	value	value_encoding	response	error
2026-09-11T23:02:07.024289+00:00	localhost:8888	15	1506210401800000	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T23:02:07.290512+00:00	localhost:8888	15	1506210401800040	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:07.770070+00:00	localhost:8888	15	1506210401800080	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:08.077867+00:00	localhost:8888	15	15062104018000c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:08.383537+00:00	localhost:8888	15	1506210401800100	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T23:02:08.649485+00:00	localhost:8888	15	1506210401800140	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:08.917252+00:00	localhost:8888	15	1506210401800180	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:09.225365+00:00	localhost:8888	15	15062104018001c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:09.498666+00:00	localhost:8888	15	1506210401800200	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T23:02:09.757373+00:00	localhost:8888	15	1506210401800240	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:10.024219+00:00	localhost:8888	15	1506210401800280	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:10.287011+00:00	localhost:8888	15	15062104018002c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:10.583065+00:00	localhost:8888	15	1506210401800300	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
2026-09-11T23:02:10.849496+00:00	localhost:8888	15	1506210401800340	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:11.119232+00:00	localhost:8888	15	1506210401800380	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:11.551565+00:00	localhost:8888	15	15062104018003c0	ff1f	ff1f											0aff1f0000000000000000	
2026-09-11T23:02:11.818248+00:00	localhost:8888	15	1506210401800400	hit	b241	03-050	none	none	7	0	0300	3	3		unbekannt; Rohwerte ohne Skalierung	0ab2410000070000000300	
