timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	value_bytes	value_unsigned	value_signed	value	value_encoding	response	error
2026-09-12T23:19:31.584116+00:00	localhost:8888	15	1506210421000000	hit	9400	01-020	on_off	none	1	0	0100	1	1	Ein	UIN/on_off	0a94000200010000000100	
2026-09-12T23:19:31.841905+00:00	localhost:8888	15	1506210421010000	hit	9500	01-021	unknown(0xc1)	__0	100	156	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0a9500c10864009c000000	
2026-09-12T23:19:32.107415+00:00	localhost:8888	15	1506210421020000	hit	9600	01-022	on_off	none	1	0	0100	1	1	Ein	UIN/on_off	0a96000200010000000100	
2026-09-12T23:19:32.390537+00:00	localhost:8888	15	1506210421030000	hit	a800	01-040	on_off	none	1	0	0000	0	0	Aus	UIN/on_off	0aa8000200010000000000	
2026-09-12T23:19:32.654441+00:00	localhost:8888	15	1506210421040000	hit	b500	01-053	on_off	none	1	0	0000	0	0	Aus	UIN/on_off	0ab5000200010000000000	
2026-09-12T23:19:32.920308+00:00	localhost:8888	15	1506210421050000	hit	b600	01-054	on_off	none	1	0	0100	1	1	Ein	UIN/on_off	0ab6000200010000000100	
2026-09-12T23:19:33.356597+00:00	localhost:8888	15	1506210421060000	hit	bf00	01-063	on_off	none	1	0	0000	0	0	Aus	UIN/on_off	0abf000200010000000000	
2026-09-12T23:19:33.654304+00:00	localhost:8888	15	1506210421070000	hit	c000	01-064	on_off	none	1	0	0100	1	1	Ein	UIN/on_off	0ac0000200010000000100	
2026-09-12T23:19:33.920255+00:00	localhost:8888	15	1506210421080000	hit	c100	01-065	on_off	none	1	0	0000	0	0	Aus	UIN/on_off	0ac1000200010000000000	
2026-09-12T23:19:34.356733+00:00	localhost:8888	15	1506210421090000	hit	c200	01-066	on_off	none	1	0	0100	1	1	Ein	UIN/on_off	0ac2000200010000000100	
2026-09-12T23:19:34.655668+00:00	localhost:8888	15	15062104210a0000	hit	cc00	01-076	none	none	2	0	0000	0	0		unbekannt; Rohwerte ohne Skalierung	0acc000000020000000000	
2026-09-12T23:19:34.921265+00:00	localhost:8888	15	15062104210b0000	hit	cd00	01-077	on_off	none	1	0	0000	0	0	Aus	UIN/on_off	0acd000200010000000000	
2026-09-12T23:19:35.186709+00:00	localhost:8888	15	15062104210c0000	hit	ce00	01-078	on_off	none	1	0	0000	0	0	Aus	UIN/on_off	0ace000200010000000000	
2026-09-12T23:19:35.452660+00:00	localhost:8888	15	15062104210d0000	hit	d200	01-082	on_off	none	1	0	0000	0	0	Aus	UIN/on_off	0ad2000200010000000000	
2026-09-12T23:19:35.722468+00:00	localhost:8888	15	15062104210e0000	hit	de00	01-094	on_off	none	1	0	0000	0	0	Aus	UIN/on_off	0ade000200010000000000	
2026-09-12T23:19:35.983769+00:00	localhost:8888	15	15062104210f0000	hit	e300	01-099	on_off	none	1	0	0000	0	0	Aus	UIN/on_off	0ae3000200010000000000	
2026-09-12T23:20:06.953100+00:00	localhost:8888	15	1506210421800000	hit	9400	01-020	on_off	none	1	0	0100	1	1	Ein	UIN/on_off	0a94000200010000000100	
