timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	response	error
2026-09-11T19:20:11.016030+00:00	localhost:8888	15	1506210423080000	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:11.280150+00:00	localhost:8888	15	1506210423080028	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:12.936051+00:00	localhost:8888	15	1506210423080118	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:14.672815+00:00	localhost:8888	15	1506210423080208	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:14.936495+00:00	localhost:8888	15	1506210423080230	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:16.576320+00:00	localhost:8888	15	1506210423080320	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:18.186754+00:00	localhost:8888	15	1506210423080410	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:18.482735+00:00	localhost:8888	15	1506210423080438	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
