timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	response	error
2026-09-11T19:20:11.016030+00:00	localhost:8888	15	1506210423080000	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:11.280150+00:00	localhost:8888	15	1506210423080028	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:11.546581+00:00	localhost:8888	15	1506210423080050	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:11.842830+00:00	localhost:8888	15	1506210423080078	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:12.107943+00:00	localhost:8888	15	15062104230800a0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:12.373462+00:00	localhost:8888	15	15062104230800c8	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:12.670701+00:00	localhost:8888	15	15062104230800f0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:12.936051+00:00	localhost:8888	15	1506210423080118	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:13.205808+00:00	localhost:8888	15	1506210423080140	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:13.468567+00:00	localhost:8888	15	1506210423080168	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:13.735277+00:00	localhost:8888	15	1506210423080190	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:14.051059+00:00	localhost:8888	15	15062104230801b8	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:14.392780+00:00	localhost:8888	15	15062104230801e0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:14.672815+00:00	localhost:8888	15	1506210423080208	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:14.936495+00:00	localhost:8888	15	1506210423080230	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:15.232312+00:00	localhost:8888	15	1506210423080258	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:15.498469+00:00	localhost:8888	15	1506210423080280	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:15.763859+00:00	localhost:8888	15	15062104230802a8	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:16.047548+00:00	localhost:8888	15	15062104230802d0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:16.310726+00:00	localhost:8888	15	15062104230802f8	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:16.576320+00:00	localhost:8888	15	1506210423080320	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:16.860240+00:00	localhost:8888	15	1506210423080348	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:17.123436+00:00	localhost:8888	15	1506210423080370	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:17.390180+00:00	localhost:8888	15	1506210423080398	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:17.655559+00:00	localhost:8888	15	15062104230803c0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:17.921094+00:00	localhost:8888	15	15062104230803e8	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:18.186754+00:00	localhost:8888	15	1506210423080410	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:18.482735+00:00	localhost:8888	15	1506210423080438	hit	2d02	04-045	selection	none	513	32	0a2d020900010220000000	
2026-09-11T19:20:18.748259+00:00	localhost:8888	15	1506210423080460	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:19.014166+00:00	localhost:8888	15	1506210423080488	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T19:20:19.279396+00:00	localhost:8888	15	15062104230804b0	ff1f	ff1f						0aff1f0000000000000000	
