timestamp	server	destination	request	status	parameter_bytes	tem_code	type	unit	max	min	response	error
2026-09-11T21:49:13.301806+00:00	localhost:8888	15	150621040f000000	hit	ce01	03-078	Zeit	unknown(0x28)	-157	-19262	0ace01042863ffc2b4c2b4	
2026-09-11T21:49:13.564935+00:00	localhost:8888	15	150621040f000040	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:13.830117+00:00	localhost:8888	15	150621040f000080	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:14.095948+00:00	localhost:8888	15	150621040f0000c0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:14.396487+00:00	localhost:8888	15	150621040f000100	hit	ce01	03-078	Zeit	unknown(0x28)	-157	-19262	0ace01042863ffc2b4c2b4	
2026-09-11T21:49:14.658024+00:00	localhost:8888	15	150621040f000140	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:14.923943+00:00	localhost:8888	15	150621040f000180	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:15.220468+00:00	localhost:8888	15	150621040f0001c0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:15.486186+00:00	localhost:8888	15	150621040f000200	hit	ce01	03-078	Zeit	unknown(0x28)	-157	-19262	0ace01042863ffc2b4c2b4	
2026-09-11T21:49:15.752574+00:00	localhost:8888	15	150621040f000240	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:16.047942+00:00	localhost:8888	15	150621040f000280	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:16.315975+00:00	localhost:8888	15	150621040f0002c0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:16.582399+00:00	localhost:8888	15	150621040f000300	hit	ce01	03-078	Zeit	unknown(0x28)	-157	-19262	0ace01042863ffc2b4c2b4	
2026-09-11T21:49:16.863238+00:00	localhost:8888	15	150621040f000340	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:17.126954+00:00	localhost:8888	15	150621040f000380	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:17.392843+00:00	localhost:8888	15	150621040f0003c0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:17.688251+00:00	localhost:8888	15	150621040f000400	hit	ce01	03-078	Zeit	unknown(0x28)	-157	-19262	0ace01042863ffc2b4c2b4	
2026-09-11T21:49:17.954940+00:00	localhost:8888	15	150621040f000440	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:18.221792+00:00	localhost:8888	15	150621040f000480	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:18.505354+00:00	localhost:8888	15	150621040f0004c0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:18.768262+00:00	localhost:8888	15	150621040f000500	hit	ce01	03-078	Zeit	unknown(0x28)	-157	-19262	0ace01042863ffc2b4c2b4	
2026-09-11T21:49:19.034044+00:00	localhost:8888	15	150621040f000540	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:19.299262+00:00	localhost:8888	15	150621040f000580	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:19.564331+00:00	localhost:8888	15	150621040f0005c0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:19.829885+00:00	localhost:8888	15	150621040f000600	hit	ce01	03-078	Zeit	unknown(0x28)	-157	-19262	0ace01042863ffc2b4c2b4	
2026-09-11T21:49:20.097507+00:00	localhost:8888	15	150621040f000640	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:20.593215+00:00	localhost:8888	15	150621040f000680	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:20.892540+00:00	localhost:8888	15	150621040f0006c0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:21.158180+00:00	localhost:8888	15	150621040f000700	hit	ce01	03-078	Zeit	unknown(0x28)	-157	-19262	0ace01042863ffc2b4c2b4	
2026-09-11T21:49:21.423876+00:00	localhost:8888	15	150621040f000740	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:21.689409+00:00	localhost:8888	15	150621040f000780	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:21.954855+00:00	localhost:8888	15	150621040f0007c0	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:22.220681+00:00	localhost:8888	15	150621040f000800	hit	ce01	03-078	Zeit	unknown(0x28)	-157	-19262	0ace01042863ffc2b4c2b4	
2026-09-11T21:49:22.703923+00:00	localhost:8888	15	150621040f000840	ff1f	ff1f						0aff1f0000000000000000	
2026-09-11T21:49:22.971664+00:00	localhost:8888	15	150621040f000880	ff1f	ff1f						0aff1f0000000000000000	
